country_id,name,created_at,created_by,updated_at,updated_by
1,Argentina,1,12/16/2021,1,1/2/2022
2,Bolivia,2,3/1/2021,2,11/28/2021
3,Brazil,3,1/2/2022,3,10/28/2021
4,Chile,4,3/11/2021,4,12/5/2021
5,Colombia,5,12/14/2021,5,12/18/2021
6,Costa Rica,6,10/2/2021,6,11/9/2021
7,Ecuador,7,6/4/2021,7,3/2/2021
8,Guatemala,8,3/25/2021,8,12/22/2021
9,Honduras,9,2/16/2021,9,11/25/2021
10,Mexico,10,2/3/2021,10,5/23/2021
11,Panama,11,7/6/2021,11,4/13/2021
12,Paraguay,12,8/2/2021,12,5/8/2021
13,Peru,13,8/25/2021,13,6/7/2021
14,Uruguay,14,11/9/2021,14,1/2/2022
15,Venezuela,15,2/19/2021,15,1/30/2021
