session_id,user_id,ip_address,devices,OS,browser,date_login,date_logout
1500,1,134.198.85.226,desktop,Chrome OS,UC Browser,2021-12-04T01:46:49Z,2021-12-04 03:02:54 UTC
1501,2,31.162.34.54,smartphone,Chrome OS,UC Browser,2021-09-30T10:16:54Z,2021-09-30 12:05:18 UTC
1502,3,79.124.131.119,desktop,Windows,IE,2021-08-08T07:02:58Z,2021-08-08 08:02:20 UTC
1503,4,233.13.237.224,desktop,Others,Chromium,2021-10-12T18:35:28Z,2021-10-12 19:08:38 UTC
1504,5,31.42.202.224,desktop,Windows,Chromium,2021-03-13T15:08:29Z,2021-03-13 17:51:42 UTC
1505,6,72.10.108.31,smartphone,Windows,Chrome,2021-04-19T11:40:43Z,2021-04-19 13:04:25 UTC
1506,7,238.109.24.132,smartphone,Linux,Safari,2021-12-27T02:50:48Z,2021-12-27 03:39:44 UTC
1507,8,162.78.182.47,smartphone,Windows,QQ Browser,2021-02-14T20:35:30Z,2021-02-14 22:24:28 UTC
1508,9,123.114.225.79,TV,Windows,Opera,2021-04-05T06:36:42Z,2021-04-05 09:31:22 UTC
1509,10,189.98.93.109,smartphone,Chrome OS,Edge,2021-05-18T19:38:10Z,2021-05-18 21:55:09 UTC
1510,11,148.72.190.104,TV,Chrome OS,Coc Coc,2021-09-25T16:51:35Z,2021-09-25 18:51:29 UTC
1511,12,253.162.64.157,desktop,OS X,Chrome,2021-12-28T05:04:16Z,2021-12-28 07:02:43 UTC
1512,13,16.141.127.5,desktop,Unknown,Firefox,2021-08-30T14:57:35Z,2021-08-30 17:42:39 UTC
1513,14,132.114.221.48,desktop,Others,Unknown,2021-04-27T03:11:20Z,2021-04-27 04:33:14 UTC
1514,15,4.43.65.68,TV,Others,Chromium,2021-03-28T17:19:14Z,2021-03-28 18:23:49 UTC
1515,16,131.124.11.111,smartphone,Unknown,Whale Browser,2021-07-06T05:56:45Z,2021-07-06 08:39:04 UTC
1516,17,200.47.188.239,desktop,Unknown,Opera,2021-08-21T07:40:58Z,2021-08-21 08:19:41 UTC
1517,18,254.191.131.139,desktop,OS X,UC Browser,2021-11-22T07:56:43Z,2021-11-22 07:57:49 UTC
1518,19,255.73.3.43,TV,Unknown,Chrome,2021-03-10T22:50:26Z,2021-03-11 00:26:58 UTC
1519,20,13.223.126.150,desktop,Unknown,Coc Coc,2021-02-02T17:50:21Z,2021-02-02 19:24:07 UTC
1520,21,209.219.216.226,smartphone,Unknown,Yandex Browser,2021-04-03T10:01:29Z,2021-04-03 12:29:23 UTC
1521,22,193.187.231.96,TV,Windows,Mozilla,2021-08-19T09:21:44Z,2021-08-19 12:07:26 UTC
1522,23,211.247.24.51,smartphone,Others,Unknown,2021-12-19T12:49:29Z,2021-12-19 15:02:01 UTC
1523,24,219.165.189.136,desktop,Windows,IE,2021-06-20T15:02:55Z,2021-06-20 16:24:43 UTC
1524,25,62.201.6.252,TV,Others,QQ Browser,2021-03-12T03:14:04Z,2021-03-12 03:55:51 UTC
1525,26,226.238.3.242,smartphone,Windows,KaiOS,2021-12-13T17:36:43Z,2021-12-13 20:01:20 UTC
1526,27,45.23.19.191,desktop,OS X,KaiOS,2021-11-10T11:48:50Z,2021-11-10 14:30:32 UTC
1527,28,167.82.178.132,desktop,Linux,Sony PS4,2021-08-05T23:23:26Z,2021-08-06 01:58:32 UTC
1528,29,185.72.56.157,smartphone,Unknown,Samsung Internet,2021-10-05T01:24:43Z,2021-10-05 03:39:30 UTC
1529,30,255.151.2.168,desktop,Linux,Edge,2021-05-08T00:15:27Z,2021-05-08 02:06:26 UTC
1530,31,242.104.112.84,TV,Chrome OS,Safari,2021-08-31T01:36:29Z,2021-08-31 02:18:33 UTC
1531,32,70.135.46.118,desktop,Chrome OS,Coc Coc,2021-07-16T20:01:00Z,2021-07-16 22:29:14 UTC
1532,33,208.30.216.75,TV,OS X,Whale Browser,2021-11-27T21:08:25Z,2021-11-27 23:59:42 UTC
1533,34,224.41.224.159,TV,Chrome OS,Yandex Browser,2021-04-02T16:08:07Z,2021-04-02 18:12:38 UTC
1534,35,141.134.61.241,desktop,Windows,Firefox,2021-12-05T23:09:10Z,2021-12-05 23:24:53 UTC
1535,36,248.119.109.8,desktop,Unknown,Sony PS4,2021-02-02T13:20:25Z,2021-02-02 14:20:40 UTC
1536,37,173.248.103.101,smartphone,Windows,Safari,2021-08-10T15:01:10Z,2021-08-10 17:44:21 UTC
1537,38,9.216.61.138,TV,Windows,QQ Browser,2021-07-12T05:54:23Z,2021-07-12 07:24:40 UTC
1538,39,121.49.182.81,TV,Linux,Samsung Internet,2021-05-20T09:39:59Z,2021-05-20 11:39:24 UTC
1539,40,110.222.103.51,desktop,Unknown,UC Browser,2021-02-03T23:24:47Z,2021-02-04 01:58:39 UTC
1540,41,8.6.187.61,smartphone,Unknown,Chrome,2021-06-14T02:31:50Z,2021-06-14 04:24:43 UTC
1541,42,255.139.206.200,TV,Windows,Samsung Internet,2021-12-15T03:11:51Z,2021-12-15 03:57:29 UTC
1542,43,232.140.71.112,smartphone,Chrome OS,Puffin,2021-02-27T17:14:41Z,2021-02-27 18:11:56 UTC
1543,44,254.180.67.194,desktop,Chrome OS,IE,2021-06-24T09:05:42Z,2021-06-24 10:12:42 UTC
1544,45,111.12.109.82,desktop,OS X,360 Safe Browser,2021-12-03T15:59:38Z,2021-12-03 18:36:12 UTC
1545,46,143.120.222.230,desktop,Windows,Android,2021-02-11T09:10:26Z,2021-02-11 12:05:57 UTC
1546,47,79.81.199.168,TV,Chrome OS,KaiOS,2021-08-15T17:55:14Z,2021-08-15 18:34:17 UTC
1547,48,90.59.141.176,desktop,Unknown,KaiOS,2021-12-31T17:54:57Z,2021-12-31 17:56:52 UTC
1548,49,246.210.193.85,smartphone,Windows,Puffin,2021-02-20T01:45:05Z,2021-02-20 01:50:31 UTC
1549,50,125.236.47.239,desktop,Others,Opera,2021-03-02T02:12:40Z,2021-03-02 02:44:35 UTC
1550,51,104.23.238.189,smartphone,OS X,Sony PS4,2021-07-24T09:36:55Z,2021-07-24 10:35:18 UTC
1551,52,34.142.35.174,desktop,Linux,Whale Browser,2021-08-31T04:46:38Z,2021-08-31 07:17:34 UTC
1552,53,148.57.82.20,TV,Windows,Opera,2021-06-12T16:59:42Z,2021-06-12 17:23:43 UTC
1553,54,48.86.115.118,desktop,Chrome OS,IE,2021-09-29T07:20:36Z,2021-09-29 09:27:50 UTC
1554,55,92.198.156.203,TV,Chrome OS,Opera,2021-09-07T01:09:29Z,2021-09-07 02:44:47 UTC
1555,56,8.254.172.171,desktop,OS X,Safari,2021-06-01T01:51:10Z,2021-06-01 03:38:07 UTC
1556,57,129.79.109.31,smartphone,Windows,UC Browser,2021-05-14T13:07:42Z,2021-05-14 14:49:30 UTC
1557,58,172.119.244.178,smartphone,OS X,360 Safe Browser,2021-07-23T00:50:29Z,2021-07-23 03:35:12 UTC
1558,59,164.195.36.143,smartphone,OS X,UC Browser,2021-05-02T01:01:03Z,2021-05-02 02:42:50 UTC
1559,60,243.179.250.87,desktop,Linux,Firefox,2021-09-08T20:02:05Z,2021-09-08 20:17:53 UTC
1560,61,134.68.45.18,TV,Others,KaiOS,2021-07-23T00:47:54Z,2021-07-23 02:03:52 UTC
1561,62,218.187.172.182,desktop,OS X,Firefox,2021-06-28T07:45:01Z,2021-06-28 10:27:02 UTC
1562,63,229.16.110.212,desktop,Unknown,Samsung Internet,2021-12-14T04:30:32Z,2021-12-14 06:00:48 UTC
1563,64,114.51.128.215,TV,Others,Other,2021-06-11T20:12:58Z,2021-06-11 21:45:58 UTC
1564,65,4.207.143.250,TV,OS X,QQ Browser,2021-06-13T01:07:13Z,2021-06-13 02:32:25 UTC
1565,66,43.183.211.132,desktop,Others,KaiOS,2021-07-26T17:13:25Z,2021-07-26 18:30:15 UTC
1566,67,111.127.195.48,desktop,Others,Chromium,2021-08-11T06:55:13Z,2021-08-11 09:02:32 UTC
1567,68,189.93.109.53,desktop,Windows,Android,2021-04-17T15:08:54Z,2021-04-17 15:57:16 UTC
1568,69,230.134.227.51,TV,Others,Yandex Browser,2021-05-11T22:28:43Z,2021-05-12 00:59:01 UTC
1569,70,79.160.220.57,desktop,Windows,Edge,2021-11-08T11:18:53Z,2021-11-08 13:48:22 UTC
1570,71,70.127.48.198,desktop,Unknown,Android,2021-05-11T23:38:36Z,2021-05-12 01:41:57 UTC
1571,72,220.232.183.60,smartphone,OS X,Chrome,2021-10-09T07:06:25Z,2021-10-09 08:46:18 UTC
1572,73,57.1.30.247,smartphone,Linux,Sony PS4,2021-06-08T01:01:16Z,2021-06-08 01:14:18 UTC
1573,74,121.10.36.204,desktop,OS X,Edge,2021-04-24T15:22:44Z,2021-04-24 17:47:04 UTC
1574,75,229.64.121.55,desktop,Chrome OS,Chromium,2021-12-17T23:59:09Z,2021-12-18 00:55:35 UTC
1575,76,158.37.48.125,smartphone,Chrome OS,Sogou Explorer,2021-11-10T06:12:38Z,2021-11-10 07:45:15 UTC
1576,77,78.93.38.40,desktop,Chrome OS,Sony PS4,2021-09-28T03:08:50Z,2021-09-28 03:57:00 UTC
1577,78,22.218.224.19,smartphone,OS X,Mozilla,2022-01-01T12:05:53Z,2022-01-01 13:28:45 UTC
1578,79,99.171.167.142,smartphone,Windows,360 Safe Browser,2021-02-08T10:13:08Z,2021-02-08 11:24:17 UTC
1579,80,2.91.86.11,TV,Windows,UC Browser,2021-11-03T06:22:19Z,2021-11-03 07:34:11 UTC
1580,81,198.200.244.23,TV,Others,Firefox,2021-06-22T16:43:51Z,2021-06-22 19:00:25 UTC
1581,82,194.175.204.63,smartphone,Windows,IE,2021-10-07T03:09:18Z,2021-10-07 03:52:14 UTC
1582,83,154.59.29.112,TV,Windows,360 Safe Browser,2021-12-19T05:30:51Z,2021-12-19 06:17:43 UTC
1583,84,236.94.81.78,smartphone,Others,Unknown,2021-06-28T20:47:58Z,2021-06-28 23:24:17 UTC
1584,85,221.179.241.235,desktop,Chrome OS,Edge,2021-08-26T12:07:29Z,2021-08-26 12:42:28 UTC
1585,86,214.154.173.165,TV,Others,Safari,2021-01-11T07:06:43Z,2021-01-11 07:26:41 UTC
1586,87,141.178.29.88,desktop,Linux,QQ Browser,2021-06-26T04:47:03Z,2021-06-26 07:27:56 UTC
1587,88,110.190.184.236,desktop,Others,360 Safe Browser,2021-03-27T01:26:41Z,2021-03-27 03:58:17 UTC
1588,89,13.11.183.118,desktop,Windows,Mozilla,2021-07-03T18:25:57Z,2021-07-03 19:27:26 UTC
1589,90,199.57.199.206,desktop,Unknown,Mozilla,2021-03-05T08:41:08Z,2021-03-05 10:29:49 UTC
1590,91,152.176.177.204,TV,Others,Coc Coc,2021-02-24T20:25:37Z,2021-02-24 22:55:13 UTC
1591,92,255.95.109.81,desktop,Windows,UC Browser,2021-11-24T03:52:19Z,2021-11-24 05:42:28 UTC
1592,93,2.33.14.226,TV,Others,IE,2021-04-10T08:51:54Z,2021-04-10 11:49:22 UTC
1593,94,200.41.169.193,smartphone,Unknown,Whale Browser,2021-04-01T21:38:50Z,2021-04-01 22:52:51 UTC
1594,95,174.92.67.12,desktop,Linux,Whale Browser,2021-03-11T18:14:43Z,2021-03-11 21:04:48 UTC
1595,96,150.29.163.218,desktop,Others,Sogou Explorer,2021-05-02T04:13:41Z,2021-05-02 06:10:16 UTC
1596,97,166.112.131.204,desktop,Unknown,Coc Coc,2021-04-15T03:10:45Z,2021-04-15 05:34:43 UTC
1597,98,133.0.211.94,smartphone,Linux,Samsung Internet,2021-09-18T07:54:36Z,2021-09-18 10:32:21 UTC
1598,99,57.10.99.215,TV,Chrome OS,Maxthon,2021-01-21T19:01:34Z,2021-01-21 21:08:46 UTC
1599,100,49.190.104.78,smartphone,OS X,Chrome,2021-10-26T13:24:01Z,2021-10-26 14:14:00 UTC
1600,101,42.91.197.58,TV,Unknown,Sony PS4,2021-05-09T22:47:18Z,2021-05-10 00:41:03 UTC
1601,102,138.3.248.29,TV,Unknown,Puffin,2021-10-19T07:23:06Z,2021-10-19 07:33:33 UTC
1602,103,105.68.33.19,TV,Chrome OS,Whale Browser,2021-08-06T18:23:07Z,2021-08-06 20:33:31 UTC
1603,104,247.71.39.238,smartphone,Chrome OS,Sogou Explorer,2021-08-18T08:48:15Z,2021-08-18 10:55:56 UTC
1604,105,128.235.76.188,smartphone,Chrome OS,Opera,2021-05-11T15:44:51Z,2021-05-11 17:31:46 UTC
1605,106,113.183.171.198,TV,Linux,Firefox,2021-03-13T10:51:27Z,2021-03-13 13:12:33 UTC
1606,107,73.93.247.99,TV,Chrome OS,Safari,2021-05-21T02:34:39Z,2021-05-21 05:09:23 UTC
1607,108,133.172.245.81,smartphone,Chrome OS,IE,2021-10-05T20:37:43Z,2021-10-05 21:19:11 UTC
1608,109,157.24.217.193,desktop,OS X,QQ Browser,2021-03-12T05:06:25Z,2021-03-12 06:48:19 UTC
1609,110,153.65.163.239,smartphone,Windows,Chromium,2021-03-31T19:31:04Z,2021-03-31 20:15:45 UTC
1610,111,177.11.74.12,smartphone,Others,Chromium,2021-11-30T16:57:21Z,2021-11-30 17:57:58 UTC
